indicator,sex,geo_area,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Population 25-29 ans,Total,Littoral (Sans Douala),58956,58874,59416,57924,55884,54794,52802,50756,50647,50987
Population 25-29 ans,Total,Nord,188939,188124,201756,203226,214233,221595,238605,247608,272219,279812
Population 25-29 ans,Total,Nord-Ouest,202900,202918,215729,213314,214359,214606,215293,207737,213575,208117
Population 25-29 ans,Total,Sud,64232,64094,63429,62843,60486,60741,58868,58860,59459,61471
Population 25-29 ans,Total,Sud-Ouest,155109,153463,163356,163313,166941,171387,175554,172091,177847,175737
Population 25-29 ans,Total,Ouest,167054,171072,178017,176302,175950,174743,173887,169549,172696,168883
Population 25-29 ans,Total,Douala,246848,242434,243662,242885,241548,246385,250532,255463,265082,280729
Population 25-29 ans,Total,Yaoundé,247714,243991,243377,243841,243259,251130,255281,264076,274285,288672
Population 30-34 ans,Total,Cameroun,1663071,1760775,1798585,1865089,1841281,1882902,1876030,1966226,1959056,2000342
Population 30-34 ans,Total,Adamaoua,79008,86906,88865,93661,89724,94876,94629,101394,101115,107174
Population 30-34 ans,Total,Centre (Sans Yaoundé),95959,101145,106709,110824,115797,117332,120171,123038,123816,121729
Population 30-34 ans,Total,Est,69174,72994,74501,76688,76142,77822,77870,82320,83826,86903
Population 30-34 ans,Total,Extrême-Nord,207297,240073,246215,269037,251564,274977,272477,305385,302094,328244
Population 30-34 ans,Total,Littoral (Sans Douala),43817,46394,49212,51384,52991,53259,53089,53574,52015,49929
Population 30-34 ans,Total,Nord,157500,173650,178950,189101,181176,190624,188510,200439,200311,209391
Population 30-34 ans,Total,Nord-Ouest,143200,157852,165535,177504,181658,188746,188737,201424,198965,199969
Population 30-34 ans,Total,Sud,58844,60425,62259,62520,63189,61397,61283,60696,60127,57851
Population 30-34 ans,Total,Sud-Ouest,145908,150691,151163,154973,152522,153599,152210,162155,162273,166013
Population 30-34 ans,Total,Ouest,92832,103819,113890,125570,134681,141816,145302,151766,149602,148801
Population 30-34 ans,Total,Douala,281855,281086,278677,275492,269514,264469,260814,262899,262769,262160
Population 30-34 ans,Total,Yaoundé,287677,285740,282609,278335,272323,263985,260938,261136,262143,262178
Population 35-39 ans,Total,Cameroun,1337770,1387020,1444408,1489412,1541769,1616696,1710936,1748367,1811828,1788288
Population 35-39 ans,Total,Adamaoua,60866,62297,66066,68080,72634,76086,83768,85764,90430,86659
Population 35-39 ans,Total,Centre (Sans Yaoundé),64652,68859,72302,77101,81378,89178,94149,99571,103485,108263
Population 35-39 ans,Total,Est,53663,55750,58431,60873,63168,67125,70877,72432,74577,74091
Population 35-39 ans,Total,Extrême-Nord,173939,167895,174488,173900,184150,189884,221418,227357,249212,232202
Population 35-39 ans,Total,Littoral (Sans Douala),31996,32996,33747,35126,36390,39236,41673,44384,46417,47920
Population 35-39 ans,Total,Nord,133636,135432,141148,144899,151088,158292,172832,176958,185512,176602
Population 35-39 ans,Total,Nord-Ouest,103937,107777,111669,115222,122101,131614,145831,153349,164924,168924
Population 35-39 ans,Total,Sud,43518,46099,47641,50379,52166,56172,57719,59558,59815,60488
Population 35-39 ans,Total,Sud-Ouest,121447,127183,131136,134131,137130,143653,148428,149121,152912,150697
Population 35-39 ans,Total,Ouest,56324,56730,58917,60957,66120,73335,83643,93134,104106,112609
Population 35-39 ans,Total,Douala,251255,265437,275969,285082,287199,293710,293515,291940,289337,284076
Population 35-39 ans,Total,Yaoundé,242537,260565,272894,283662,288245,298411,297083,294799,291101,285757
Population 40-44 ans,Total,Cameroun,1088837,1157913,1199743,1258583,1266823,1295013,1342434,1398693,1441524,1492441
Population 40-44 ans,Total,Adamaoua,48370,52783,54921,57466,56783,58314,59712,63421,65371,69861
Population 40-44 ans,Total,Centre (Sans Yaoundé),56849,56983,57562,58422,59464,59277,63298,66631,71212,75322
Population 40-44 ans,Total,Est,46038,48489,49526,51053,51591,51821,53864,56531,58909,61200
Population 40-44 ans,Total,Extrême-Nord,142222,158082,161570,168479,156850,158960,152973,159301,158502,168453
Population 40-44 ans,Total,Littoral (Sans Douala),30557,30348,29816,29701,28889,28275,29189,29884,31157,32334
Population 40-44 ans,Total,Nord,108145,118720,124602,131116,129852,133469,134324,139011,141599,146629
Population 40-44 ans,Total,Nord-Ouest,83899,87899,89648,93453,93133,94389,98024,101797,105132,111818
Population 40-44 ans,Total,Sud,36292,36991,38477,39447,41212,41321,43812,45337,47977,49719
Population 40-44 ans,Total,Sud-Ouest,100013,106431,110720,116853,117412,118886,124529,128562,131543,134643
Population 40-44 ans,Total,Ouest,54318,52827,48921,47618,42767,40932,41017,42862,44501,49225
Population 40-44 ans,Total,Douala,199376,212319,223800,238821,248994,259447,273706,284635,293931,296511
Population 40-44 ans,Total,Yaoundé,182758,196041,210180,226154,239876,249922,267986,280721,291690,296726
Population 45-49 ans,Total,Cameroun,806294,831810,879415,897113,993584,1047330,1113130,1153685,1209248,1218047
Population 45-49 ans,Total,Adamaoua,35652,35974,37857,38268,44164,46031,50252,52337,54747,54191
Population 45-49 ans,Total,Centre (Sans Yaoundé),47337,48781,49417,49663,50498,51971,52051,52595,53353,54338
Population 45-49 ans,Total,Est,34911,36118,38289,39195,41953,44161,46520,47557,49007,49588
Population 45-49 ans,Total,Extrême-Nord,101432,97177,102702,99545,126732,129150,144146,147421,153747,142821
Population 45-49 ans,Total,Littoral (Sans Douala),25035,25497,25871,25966,26586,27193,26941,26401,26231,25421
Population 45-49 ans,Total,Nord,76709,78554,84166,86024,102615,107379,116754,121703,127051,125186
Population 45-49 ans,Total,Nord-Ouest,63516,64879,67520,66902,72356,75631,79388,81025,84555,84250
Population 45-49 ans,Total,Sud,27829,29458,30257,31210,32350,34237,34907,36354,37267,38977
Population 45-49 ans,Total,Sud-Ouest,69643,73655,78441,80902,89794,97231,103425,107661,113549,114283
Population 45-49 ans,Total,Ouest,50743,48725,48376,45008,43448,41116,39422,35429,33877,28996
Population 45-49 ans,Total,Douala,145882,155740,167782,176356,191008,205156,218035,229684,244544,254884
Population 45-49 ans,Total,Yaoundé,127605,137252,148737,158074,172080,188074,201289,215518,231320,245112
Population 50 ans et plus,Total,Cameroun,2287852,2348819,2404478,2454381,2655475,2689570,2765044,2858480,2914438,3189251
Population 50 ans et plus,Total,Adamaoua,99506,101671,103310,104628,115610,116131,118269,121486,122865,138651
Population 50 ans et plus,Total,Centre (Sans Yaoundé),182720,183347,183939,183776,188474,187516,189344,190542,190433,195539
Population 50 ans et plus,Total,Est,100121,103109,105570,107516,115856,117353,121014,125191,127534,137722
Population 50 ans et plus,Total,Extrême-Nord,328881,328242,325638,321834,356931,349133,344079,346695,339443,397759
Population 50 ans et plus,Total,Littoral (Sans Douala),92645,92924,93072,92607,95362,94444,95024,95472,94984,98086
Population 50 ans et plus,Total,Nord,200315,206191,212149,217504,243878,247639,252547,261135,265129,302835
Population 50 ans et plus,Total,Nord-Ouest,199810,201165,202078,202728,218455,216212,218190,221197,220585,240360
Population 50 ans et plus,Total,Sud,98926,99738,100758,101351,104439,104526,106880,108736,110211,114219
Population 50 ans et plus,Total,Sud-Ouest,166858,173155,179697,186023,205684,209389,218586,228915,236575,262996
Population 50 ans et plus,Total,Ouest,199685,196918,192622,186967,192036,184842,180174,175819,167078,170332
Population 50 ans et plus,Total,Douala,334885,357888,380349,402968,439637,462432,492661,524783,553105,600769
Population 50 ans et plus,Total,Yaoundé,283500,304471,325296,346479,379113,399953,428276,458509,486496,529983
Population 1 an et plus,Total,Cameroun,22824890,23413104,24005369,24617511,25244119,25861324,26498525,27151890,27797449,28468187
Population 1 an et plus,Total,Adamaoua,1160134,1192508,1225470,1260077,1295195,1329731,1367130,1405938,1444973,1484784
Population 1 an et plus,Total,Centre (Sans Yaoundé),1438661,1463294,1487713,1512296,1537974,1562864,1589612,1616238,1642498,1668916
Population 1 an et plus,Total,Est,1011266,1035367,1059776,1084701,1110010,1134766,1161282,1188055,1214938,1243332
